질문,정답,해설
파이썬에서 `is` 연산자는 두 값이 같은지를 비교한다.,X,"`is`는 **객체 동일성**을 비교합니다. 값이 같아도 다른 객체면 False입니다.
예: a = [1]; b = [1]; a == b → True, a is b → False"
def func(x=[]) 처럼 mutable 객체를 기본 인자로 사용해도 안전하다.,X,"기본 인자는 함수 정의 시 한 번만 평가되므로, 리스트가 공유됩니다.
예: def f(x=[]): x.append(1); return x → 계속 누적됨"
if []:는 True로 평가된다.,X,"빈 리스트, 딕셔너리, 문자열 등은 Boolean 컨텍스트에서 False입니다."
None == False는 True이다.,X,None과 False는 값이 다릅니다. None == False → False
"int(""10"") + 5는 정상 동작하지만 int(""ten"") + 5는 에러가 발생한다.",O,"""ten""은 정수로 변환 불가이므로 ValueError 발생"
파이썬에서 for 루프의 else 블록은 루프가 중단되지 않았을 때 실행된다.,O,"for ... else 구조에서, 루프가 break 없이 끝나면 else가 실행됩니다."
튜플은 항상 불변이다.,X,"튜플 자체는 불변이지만, mutable한 요소를 포함할 수 있어 내부 값 변경이 가능합니다.
예: t = ([1], 2); t[0].append(3)"
lambda x: x + 1은 이름 없는 함수이므로 호출이 불가능하다.,X,"lambda는 익명 함수지만 변수에 할당하거나 즉시 호출할 수 있습니다.
예: (lambda x: x + 1)(5) → 6"
1 < 2 < 3은 (1 < 2) and (2 < 3)과 동일하게 평가된다.,O,파이썬은 비교 연산을 체인 형태로 해석합니다.
"a = [1, 2, 3]; b = a; b.append(4) 실행 후 a는 변경되지 않는다.",X,"a와 b는 같은 리스트 객체를 참조하므로, a도 변경됩니다."
